name,struct_complex_correct_on,struct_complex_correct_off,struct_complex_mut_on,struct_complex_mut_off,
CFTR_d508del_R4F3,U3 U15 D20( U10 D21( + U3 ) U10 ) U95,U3 U15 U20 U10 D21( + U3 ) U13 D21( U20) U50,U3 U15 D10( U3 D1( D9( U10 D21( + U3 ) U10 ) ) ) U95,U3 U15 U23 U10 D21( + U3 ) U13 D21( U20) U50,
CFTR_d508del_R4F4,U3 U15 D21( U10 D20( + U3 ) U10 ) U95,U3 U15 U21 U10 D20( + U3 ) U14 D21( U20) U50,U3 U15 D10( U3 D1( D10( U10 D20( + U3 ) U10 ) ) ) U95,U3 U15 U24 U10 D20( + U3 ) U14 D21( U20) U50,
CFTR_d508del_R4F5,U3 U15 D22( U10 D19( + U3 ) U10 ) U95,U3 U15 U22 U10 D19( + U3 ) U15 D21( U20) U50,U3 U15 D10( U3 D1( D11( U10 D19( + U3 ) U10 ) ) ) U95,U3 U15 U25 U10 D19( + U3 ) U15 D21( U20) U50,
